,Test Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Logistic Regression,0.8206521739130435,0.8285714285714286,0.8529411764705882,0.8405797101449276,0.8124471410185696,0.023737995960748333
Decision Tree,0.7554347826086957,0.7663551401869159,0.803921568627451,0.7846889952153109,0.7268983268983269,0.0397789422391917
Random Forest,0.7989130434782609,0.782608695652174,0.8823529411764706,0.8294930875576038,0.7866427652141936,0.02487081355015482
SVM,0.8260869565217391,0.8125,0.8921568627450981,0.8504672897196263,0.8124563338849052,0.02698015278982832
